file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
public/assets/perinade/visits/wine-red-card.jpg,public/assets/perinade/visits/wine-red-card.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/wine-rose-card.jpg,public/assets/perinade/visits/wine-rose-card.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/wine-white-card.jpg,public/assets/perinade/visits/wine-white-card.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/wine-blanc.png,public/assets/perinade/wine-blanc.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/wine-cuvee-domaine.png,public/assets/perinade/wine-cuvee-domaine.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/wine-grande-reserve.png,public/assets/perinade/wine-grande-reserve.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/wine-rose.png,public/assets/perinade/wine-rose.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
src/assets/perinade/domaine/family.jpg,src/assets/perinade/domaine/family.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/hero.jpg,src/assets/perinade/domaine/hero.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/terroir.jpg,src/assets/perinade/domaine/terroir.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/timeline-left.jpg,src/assets/perinade/domaine/timeline-left.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/timeline-right.jpg,src/assets/perinade/domaine/timeline-right.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/visit-cta.jpg,src/assets/perinade/domaine/visit-cta.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/wine-1.jpg,src/assets/perinade/domaine/wine-1.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/wine-2.jpg,src/assets/perinade/domaine/wine-2.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/domaine/wine-3.jpg,src/assets/perinade/domaine/wine-3.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/experience-bg.png,src/assets/perinade/experience-bg.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/gallery-cellar.png,src/assets/perinade/gallery-cellar.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/gallery-curve-mask.svg,src/assets/perinade/gallery-curve-mask.svg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/gallery-tiger.png,src/assets/perinade/gallery-tiger.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/gallery-tiger.svg,src/assets/perinade/gallery-tiger.svg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/gallery-vines-close.png,src/assets/perinade/gallery-vines-close.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/hero-deck/balade-vignes.png,src/assets/perinade/hero-deck/balade-vignes.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/hero-deck/cuvees-exception.png,src/assets/perinade/hero-deck/cuvees-exception.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/hero-deck/visite-caveau.png,src/assets/perinade/hero-deck/visite-caveau.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/hero-vineyard.png,src/assets/perinade/hero-vineyard.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/history-family.png,src/assets/perinade/history-family.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/logo.png,src/assets/perinade/logo.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-1.png,src/assets/perinade/shop/img-1.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-2.png,src/assets/perinade/shop/img-2.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-3.png,src/assets/perinade/shop/img-3.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-4.png,src/assets/perinade/shop/img-4.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-5.png,src/assets/perinade/shop/img-5.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-6.png,src/assets/perinade/shop/img-6.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/img-7.png,src/assets/perinade/shop/img-7.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/shop/package.png,src/assets/perinade/shop/package.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/extended-pool.jpg,src/assets/perinade/visits/extended-pool.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/final-cta-bg.jpg,src/assets/perinade/visits/final-cta-bg.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/hero-grapes.jpg,src/assets/perinade/visits/hero-grapes.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/pairing-board.jpg,src/assets/perinade/visits/pairing-board.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/step-1.jpg,src/assets/perinade/visits/step-1.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/step-2.jpg,src/assets/perinade/visits/step-2.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/step-3.jpg,src/assets/perinade/visits/step-3.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/step-4.jpg,src/assets/perinade/visits/step-4.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/wine-red-card.jpg,src/assets/perinade/visits/wine-red-card.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/wine-rose-card.jpg,src/assets/perinade/visits/wine-rose-card.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/visits/wine-white-card.jpg,src/assets/perinade/visits/wine-white-card.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/wine-blanc.png,src/assets/perinade/wine-blanc.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/wine-cuvee-domaine.png,src/assets/perinade/wine-cuvee-domaine.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/wine-grande-reserve.png,src/assets/perinade/wine-grande-reserve.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/assets/perinade/wine-rose.png,src/assets/perinade/wine-rose.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
src/components/domaine/DomainContactSection.astro,src/components/domaine/DomainContactSection.astro,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
